Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18445038725671171078,00000735,false,Rx,0,8,43,00,43,00,25,AB,A0,3D,
18445038725671171291,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671171547,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725671173552,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671173766,000005A1,false,Rx,0,8,2A,A2,AA,2A,A2,8A,82,A2,
18445038725671175046,00000563,false,Rx,0,8,00,20,80,A2,02,00,00,00,
18445038725671176283,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671177179,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671177435,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725671177691,00000733,false,Rx,0,8,39,3A,39,3A,25,AB,A0,3B,
18445038725671177947,00000388,false,Rx,0,8,02,02,00,00,00,00,00,02,
18445038725671178843,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671179910,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671180166,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725671180422,0000075B,false,Rx,0,8,3C,00,3C,00,25,AB,A0,3C,
18445038725671180678,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671181275,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671183493,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671185029,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725671186309,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671187205,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671187461,0000029A,false,Rx,0,8,02,36,34,34,FF,FF,FF,FF,
18445038725671188827,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671189851,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671190576,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671190832,0000056A,false,Rx,0,8,02,8A,0A,80,A8,A0,AA,8A,
18445038725671191088,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725671191344,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725671191557,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671192624,00000424,false,Rx,0,8,04,75,04,1F,86,A9,02,00,
18445038725671193520,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671195056,0000038A,false,Rx,0,8,3F,3C,00,00,04,00,00,00,
18445038725671196293,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671197232,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671197488,00000566,false,Rx,0,8,02,8A,0A,80,A8,A0,AA,8A,
18445038725671197744,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725671198811,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671199920,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671200176,00000564,false,Rx,0,8,02,8A,AA,8A,A8,A0,AA,8A,
18445038725671200603,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671200816,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725671201072,0000056B,false,Rx,0,8,AA,02,00,00,80,AA,01,00,
18445038725671201285,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671203547,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671205040,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725671206277,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671206490,00000374,false,Rx,0,8,79,7C,7D,FE,3F,3E,3A,30,
18445038725671207216,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671207514,00000567,false,Rx,0,8,AA,02,00,00,80,AA,00,00,
18445038725671208794,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671209861,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671210117,00000565,false,Rx,0,8,AA,02,00,00,80,AA,00,00,
18445038725671210586,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671210842,0000056F,false,Rx,0,8,2A,88,2A,08,00,00,28,0A,
18445038725671211098,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725671211354,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725671211568,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671213530,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671213786,00000371,false,Rx,0,8,0A,00,00,00,00,00,00,00,
18445038725671215066,00000389,false,Rx,0,8,02,00,00,3C,3C,00,00,00,
18445038725671216261,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671216474,00000375,false,Rx,0,8,0F,0F,00,17,98,00,00,00,
18445038725671217242,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671217498,0000056D,false,Rx,0,8,2A,00,00,00,00,00,28,0A,
18445038725671217797,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725671218778,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671219717,00000154,false,Rx,0,8,99,99,30,99,16,11,F8,5C,
18445038725671219930,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671220229,0000056C,false,Rx,0,8,2A,88,02,00,00,00,28,0A,
18445038725671220613,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671220869,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725671221253,00000286,false,Rx,0,8,00,00,00,3D,00,00,0A,00,
18445038725671221466,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671223344,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671223770,000005A1,false,Rx,0,8,2A,A2,AA,2A,A2,8A,82,A2,
18445038725671225050,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725671226245,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671227183,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671228762,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671229871,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671230597,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671230853,0000029B,false,Rx,0,8,43,3D,43,3D,3B,0A,14,3E,
18445038725671231109,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725671231365,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725671231621,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671231834,00000185,false,Rx,0,8,08,00,19,00,00,00,00,00,
18445038725671232559,00000424,false,Rx,0,8,04,75,04,1F,86,A9,02,00,
18445038725671233541,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671236229,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671237167,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671237423,00000299,false,Rx,0,8,39,3B,40,42,3B,00,00,00,
18445038725671237679,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725671238746,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671239898,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671240154,00000298,false,Rx,0,8,3C,3C,43,3D,3B,00,00,3E,
18445038725671240410,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725671240623,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671240922,0000056A,false,Rx,0,8,02,8A,0A,80,A8,A0,AA,8A,
18445038725671241263,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671243567,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671245061,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725671245573,000006FA,false,Rx,0,8,00,4A,4D,41,58,44,47,47,
18445038725671246213,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671247236,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671247492,00000566,false,Rx,0,8,02,8A,0A,80,A8,A0,AA,8A,
18445038725671248730,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671249924,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671250180,00000564,false,Rx,0,8,02,8A,AA,8A,A8,A0,AA,8A,
18445038725671250607,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671250863,0000056B,false,Rx,0,8,AA,02,00,00,80,AA,01,00,
18445038725671251162,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725671251375,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725671251631,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671253508,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671256196,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671257220,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671257476,00000567,false,Rx,0,8,AA,02,00,00,80,AA,00,00,
18445038725671257732,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725671258714,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671259951,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671260207,00000565,false,Rx,0,8,AA,02,00,00,80,AA,00,00,
18445038725671260463,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725671260676,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671260975,0000056F,false,Rx,0,8,2A,88,2A,08,00,00,28,0A,
18445038725671261274,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671263450,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671265028,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725671266180,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671267204,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671267503,0000056D,false,Rx,0,8,2A,00,00,00,00,00,28,0A,
18445038725671268697,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671269849,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671270105,0000056C,false,Rx,0,8,2A,88,02,00,00,00,28,0A,
18445038725671270575,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671270873,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725671271172,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725671271428,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671271641,00000735,false,Rx,0,8,43,00,43,00,25,AB,A0,3D,
18445038725671272495,00000424,false,Rx,0,8,04,75,04,1F,86,A9,02,00,
18445038725671273519,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671273775,000005A1,false,Rx,0,8,2A,A2,AA,2A,A2,8A,82,A2,
18445038725671276164,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671277231,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671277487,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725671277785,00000733,false,Rx,0,8,39,3A,39,3A,25,AB,A0,3B,
18445038725671277999,00000388,false,Rx,0,8,02,02,00,00,00,00,00,02,
18445038725671278681,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671279919,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671280175,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725671280601,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671280815,0000075B,false,Rx,0,8,3C,00,3C,00,25,AB,A0,3C,
18445038725671281284,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671283545,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671285039,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725671286148,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671287172,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671287428,0000029A,false,Rx,0,8,00,4A,4D,41,58,44,47,47,
18445038725671288665,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671289860,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671290542,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671290798,0000056A,false,Rx,0,8,02,8A,0A,80,A8,A0,AA,8A,
18445038725671291054,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725671291310,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725671291524,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671293486,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671295065,0000038A,false,Rx,0,8,3F,3C,00,00,04,00,00,00,
18445038725671296132,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671297156,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671297412,00000566,false,Rx,0,8,02,8A,0A,80,A8,A0,AA,8A,
18445038725671297668,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725671298649,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671299929,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671300228,00000564,false,Rx,0,8,02,8A,AA,8A,A8,A0,AA,8A,
18445038725671300612,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671300825,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725671301081,0000056B,false,Rx,0,8,AA,02,00,00,80,AA,01,00,
18445038725671301294,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671303342,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671305049,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725671306116,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671306329,00000374,false,Rx,0,8,79,7C,7D,FE,3F,3E,3A,30,
18445038725671307225,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671307481,00000567,false,Rx,0,8,AA,02,00,00,80,AA,00,00,
18445038725671308633,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671309870,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671310169,00000565,false,Rx,0,8,AA,02,00,00,80,AA,00,00,
18445038725671310553,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671310809,0000056F,false,Rx,0,8,2A,88,2A,08,00,00,28,0A,
18445038725671311065,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725671311321,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725671311534,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671312387,00000424,false,Rx,0,8,04,75,04,1F,86,A9,02,00,
18445038725671313497,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671313753,00000371,false,Rx,0,8,0A,00,00,00,00,00,00,00,
18445038725671315075,00000389,false,Rx,0,8,02,00,00,3C,3C,00,00,00,
18445038725671316099,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671316313,00000375,false,Rx,0,8,0F,0F,00,17,98,00,00,00,
18445038725671317209,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671317465,0000056D,false,Rx,0,8,2A,00,00,00,00,00,28,0A,
18445038725671317721,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725671318617,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671319811,00000154,false,Rx,0,8,98,99,30,99,16,11,F8,5C,
18445038725671320025,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671320281,0000056C,false,Rx,0,8,2A,88,02,00,00,00,28,0A,
18445038725671320622,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671320835,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725671321091,00000286,false,Rx,0,8,00,00,00,3D,00,00,0A,00,
18445038725671321347,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671323523,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671323779,000005A1,false,Rx,0,8,2A,A2,AA,2A,A2,8A,82,A2,
18445038725671325059,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725671326083,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671327235,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671328601,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671329923,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671330563,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671330819,0000029B,false,Rx,0,8,43,3D,43,3D,3B,0A,14,3E,
18445038725671331075,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725671331331,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671331545,00000185,false,Rx,0,8,08,00,19,00,00,00,00,00,
18445038725671331801,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725671333507,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671335043,00000569,false,Rx,0,8,AA,80,82,02,00,00,00,00,
18445038725671336067,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671337219,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671337475,00000299,false,Rx,0,8,39,3B,40,42,3B,00,00,00,
18445038725671337774,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725671338584,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671339864,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671340163,00000298,false,Rx,0,8,3C,3C,43,3D,3B,00,00,3E,
18445038725671340419,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725671340675,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671340888,0000056A,false,Rx,0,8,02,8A,0A,80,A8,A0,AA,8A,
18445038725671341187,00000669,false,Rx,0,8,02,00,00,00,00,00,00,00,
18445038725671341400,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671343406,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671345027,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725671345411,000006FA,false,Rx,0,8,01,32,57,45,5A,43,30,36,
18445038725671346051,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671347203,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671347502,00000566,false,Rx,0,8,02,8A,0A,80,A8,A0,AA,8A,
18445038725671348568,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671349848,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671350104,00000564,false,Rx,0,8,02,8A,AA,8A,A8,A0,AA,8A,
18445038725671350574,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671350830,0000056B,false,Rx,0,8,AA,02,00,00,80,AA,01,00,
18445038725671351086,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725671351342,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671351555,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725671352323,00000424,false,Rx,0,8,04,75,04,1F,86,A9,02,00,
18445038725671353475,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671355053,00000568,false,Rx,0,8,00,02,80,0A,00,00,A8,AA,
18445038725671356035,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671357229,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671357528,00000567,false,Rx,0,8,AA,02,00,00,80,AA,00,00,
18445038725671357784,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725671358552,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671360045,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671360301,00000565,false,Rx,0,8,AA,02,00,00,80,AA,00,00,
18445038725671360557,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671360771,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725671361027,0000056F,false,Rx,0,8,2A,88,2A,08,00,00,28,0A,
18445038725671361283,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671361496,0000066A,false,Rx,0,8,02,1E,2F,B2,12,00,00,00,
18445038725671363501,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671365037,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725671366019,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671367171,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671367427,0000056D,false,Rx,0,8,2A,00,00,00,00,00,28,0A,
18445038725671368536,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671369859,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671370115,0000056C,false,Rx,0,8,2A,88,02,00,00,00,28,0A,
18445038725671370584,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671370840,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725671371096,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725671371352,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671371565,00000735,false,Rx,0,8,43,00,43,00,25,AB,A0,3D,
18445038725671373485,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671373784,000005A1,false,Rx,0,8,2A,A2,AA,2A,A2,8A,82,A2,
18445038725671375064,00000563,false,Rx,0,8,00,20,80,A2,02,00,00,00,
18445038725671376002,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671377154,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671377410,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725671377709,00000733,false,Rx,0,8,39,3A,39,3A,25,AB,A0,3B,
18445038725671377965,00000388,false,Rx,0,8,02,02,00,00,00,00,00,02,
18445038725671378520,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671379928,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671380226,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725671380525,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671380781,0000075B,false,Rx,0,8,3C,00,3C,00,25,AB,A0,3C,
18445038725671381250,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671383341,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671385048,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725671385986,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671387224,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671387480,0000029A,false,Rx,0,8,01,32,57,45,5A,43,30,36,
18445038725671387906,00000676,false,Rx,0,8,00,00,00,00,00,00,00,00,
18445038725671388504,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671389869,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671390594,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671390850,0000056A,false,Rx,0,8,02,8A,0A,80,A8,A0,AA,8A,
18445038725671391106,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725671391362,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671391576,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725671392216,00000424,false,Rx,0,8,04,75,04,1F,86,A9,02,00,
18445038725671393453,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671395074,0000038A,false,Rx,0,8,3F,3C,00,00,04,00,00,00,
18445038725671395970,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671397207,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671397463,00000566,false,Rx,0,8,02,8A,0A,80,A8,A0,AA,8A,
18445038725671397762,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725671398018,00000677,false,Rx,0,8,00,00,00,00,00,00,00,00,
18445038725671398487,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671399895,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671400151,00000564,false,Rx,0,8,02,8A,AA,8A,A8,A0,AA,8A,
18445038725671400407,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725671400621,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671400919,0000056B,false,Rx,0,8,AA,02,00,00,80,AA,01,00,
18445038725671401261,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671403522,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671405058,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725671405954,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725671406295,00000374,false,Rx,0,8,79,7C,7D,FE,3F,3E,3A,30,
18445038725671407191,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725671407533,00000567,false,Rx,0,8,AA,02,00,00,80,AA,00,00,
18445038725671407917,00000571,false,Rx,0,8,00,00,00,00,00,00,00,00,
18445038725671408471,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725671409922,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671410178,00000565,false,Rx,0,8,AA,02,00,00,80,AA,00,00,
18445038725671410605,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725671410903,0000056F,false,Rx,0,8,2A,88,2A,08,00,00,28,0A,
18445038725671411159,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725671411373,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725671411629,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725671413463,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725671413719,00000371,false,Rx,0,8,0A,00,00,00,00,00,00,00,
